ts,asset,funding_hourly_pct,funding_apy_pct,oi_usd,side,breakeven_days,net_apy_30d_pct,actionable
2026-06-25T06:15:46.889706+00:00,AR,0.00125,10.95,1227441,short_perp+spot_long,6.67,8.52,0
2026-06-25T06:15:46.889706+00:00,ETHFI,0.00125,10.95,3108910,short_perp+spot_long,6.67,8.52,0
2026-06-25T06:15:46.889706+00:00,ENA,0.00125,10.95,16138182,short_perp+spot_long,6.67,8.52,0
2026-06-25T06:15:46.889706+00:00,MNT,0.00125,10.95,2465800,short_perp+spot_long,6.67,8.52,0
2026-06-25T06:15:46.889706+00:00,HBAR,0.00125,10.95,3466321,short_perp+spot_long,6.67,8.52,0
2026-06-25T06:15:46.889706+00:00,POPCAT,-0.00259,-22.73,1433700,long_perp+spot_short,3.21,20.3,1
2026-06-25T06:15:46.889706+00:00,EIGEN,0.00125,10.95,7038942,short_perp+spot_long,6.67,8.52,0
2026-06-25T06:15:46.889706+00:00,RENDER,0.00125,10.95,1332313,short_perp+spot_long,6.67,8.52,0
2026-06-25T06:15:46.889706+00:00,POL,0.00125,10.95,2200172,short_perp+spot_long,6.67,8.52,0
2026-06-25T06:15:46.889706+00:00,GRASS,0.00125,10.95,10273574,short_perp+spot_long,6.67,8.52,0
2026-06-25T06:15:46.889706+00:00,PURR,0.00125,10.95,6562963,short_perp+spot_long,6.67,8.52,0
2026-06-25T06:15:46.889706+00:00,XLM,0.00125,10.95,6906000,short_perp+spot_long,6.67,8.52,0
2026-06-25T06:15:46.889706+00:00,ALGO,0.00125,10.95,1771838,short_perp+spot_long,6.67,8.52,0
2026-06-25T06:15:46.889706+00:00,HYPE,0.00125,10.95,1297859113,short_perp+spot_long,6.67,8.52,0
2026-06-25T06:15:46.889706+00:00,VIRTUAL,-6e-05,-0.52,5329453,long_perp+spot_short,140.06,-1.91,0
2026-06-25T06:15:46.889706+00:00,PENGU,-0.0009,-7.84,3439209,long_perp+spot_short,9.31,5.41,0
2026-06-25T06:15:46.889706+00:00,FARTCOIN,0.00125,10.95,16216224,short_perp+spot_long,6.67,8.52,0
2026-06-25T06:15:46.889706+00:00,BIO,0.00125,10.95,1123172,short_perp+spot_long,6.67,8.52,0
